month,n_rows,missing_rate_pct,n_duplicates
2023-01-01,530,20.411051212938006,0
2023-02-01,501,2.5021385799828915,0
2023-03-01,506,2.632693393562959,0
2023-04-01,510,2.549019607843137,0
2023-05-01,521,2.4060871949547575,0
2023-06-01,517,2.314175186515612,0
2023-07-01,471,2.327873824689111,0
2023-08-01,481,2.3982773982773984,0
2023-09-01,454,2.5723725613593458,0
2023-10-01,487,2.427398063948372,0
2023-11-01,491,2.2548734361361653,0
2023-12-01,489,2.205667543090856,0
2024-01-01,485,2.4300441826215025,0
2024-02-01,518,2.2890237175951462,0
2024-03-01,511,2.355325691920604,0
2024-04-01,513,2.4575327206906152,0
2024-05-01,491,2.414896712249054,0
2024-06-01,498,2.588927137119908,0
2024-07-01,505,5.933521923620934,0
2024-08-01,543,5.814259405419627,0
2024-09-01,493,5.896841495218777,0
2024-10-01,456,5.913220551378446,0
2024-11-01,488,6.052400468384075,0
2024-12-01,515,6.165048543689321,0
2025-01-01,526,5.81205866376969,0
